"1","6","4"
"2","7","6"
"3","7","3"
"4","13","3"
"5","12","3"
"6","18","4"
"7","3","3"
"8","3","9"
"9","3","4"
"10","3","7"
"11","3","13"
"12","3","12"
"13","3","11"
"14","3","14"
"15","3","10"
"16","3","15"
"17","3","5"
"18","3","17"
"19","3","18"
"20","3","19"
"21","3","20"
"22","29","3"
"23","30","21"
"24","30","22"
"25","31","3"
"26","31","24"
"27","33","24"
"28","32","3"
"29","2","2"
"30","1","1"
"31","6","3"
"32","7","5"
"33","9","3"
"34","10","3"
"35","12","5"
"36","13","6"
"37","14","3"
"38","15","3"
"39","16","3"
"40","17","3"
"41","18","7"
"42","19","7"
"43","20","3"
"44","21","3"
"45","31","23"
"46","32","23"
"47","33","23"
"48","37","6"
"49","38","6"
"50","44","27"
"51","44","26"
"52","44","4"
"53","43","3"
"54","43","4"
"55","43","27"
"56","43","27"
"57","47","3"
"58","47","5"
"59","47","28"
"60","48","3"
"61","50","3"
"62","51","6"
"63","52","1"
"64","52","1"
"65","55","5"
"67","5","29"
"68","5","3"
"69","5","6"
"70","54","4"
"71","54","1"
"72","54","29"
"73","54","6"
"74","56","30"
"75","58","20"
"76","58","13"
"77","60","31"
"78","60","3"
"79","60","32"
"80","60","31"
"81","61","3"
"82","62","3"
"83","62","30"
"84","62","28"
"85","62","33"
"86","62","34"
"87","61","3"
"88","61","3"
"89","5","18"
"90","5","35"
"91","5","36"
"92","63","3"
"93","63","34"
"94","65","37"
"95","65","30"
"96","65","3"
"97","65","1"
"98","65","1"
"99","53","38"
"100","5","9"
"101","5","39"
"102","5","40"
"103","5","41"
"104","67","3"
"105","68","42"
"106","68","3"
"107","68","42"
"108","69","3"
"109","69","3"
"110","69","3"
"111","69","43"
"112","70","3"
"113","70","3"
"114","73","3"
"115","73","3"
"116","74","44"
"117","74","44"
"118","74","33"
"119","77","37"
"120","77","3"
"121","65","45"
"122","77","45"
"123","78","33"
"124","78","3"
"125","80","48"
"126","83","3"
"127","83","56"
"128","84","56"
"129","75","57"
"130","23","3"
"131","85","27"
"132","85","26"
"133","85","3"
"134","86","62"
"135","86","65"
"136","86","64"
"137","86","63"
"138","87","60"
"139","87","60"
"140","88","3"
"141","89","3"
"142","91","33"
"143","91","3"
"144","92","33"
"145","92","3"
"146","91","48"
"147","67","33"
"148","96","3"
"149","59","3"
"150","97","3"
"151","67","3"
"152","102","68"
"153","102","3"
"154","108","33"
"155","109","33"
"156","114","69"
"157","114","4"
"158","114","3"
"159","114","3"
"160","116","4"
"161","116","3"
"162","115","69"
"163","115","4"
"164","115","48"
"165","115","49"
"166","115","46"
"167","115","46"
"168","120","3"
"169","120","3"
"170","121","3"
"171","121","22"
"172","121","70"
"173","121","71"
"174","122","3"
"175","124","3"
"176","127","49"
"177","127","1"
"178","127","3"
"179","130","5"
"180","130","3"
"181","130","29"
"182","130","46"
"183","130","1"
"184","130","28"
"185","134","71"
"186","134","33"
"187","134","46"
"188","134","3"
"189","134","72"
"190","84","3"
"191","138","56"
"192","138","56"
"193","138","3"
"194","138","56"
"195","140","3"
"196","139","3"
"197","141","73"
"198","141","3"
"199","142","3"
"200","147","28"
"201","147","3"
"202","149","51"
"203","156","71"
"204","156","3"
"205","165","76"
"206","165","3"
"207","171","3"
"208","171","33"
"209","171","32"
"210","171","77"
"211","171","26"
"212","171","85"
"213","171","65"
"214","171","82"
"215","171","83"
"216","171","84"
"217","171","81"
"218","171","80"
"219","171","79"
"220","181","3"
"221","181","7"
"222","66","28"
"223","67","57"
"224","67","47"
"225","189","3"
"226","189","5"
"227","190","5"
"228","191","5"
"229","193","3"
"230","195","3"
"231","195","20"
"232","203","3"
"233","203","86"
"234","206","33"
"235","206","32"
"236","206","78"
"237","194","30"
"238","194","50"
"239","206","90"
"240","206","88"
"241","206","89"
"242","206","20"
"243","212","7"
"244","212","10"
"245","212","82"
"246","212","92"
"247","212","93"
"248","212","94"
"249","232","3"
"250","234","3"
"251","257","62"
"252","259","3"
"253","259","20"
"254","266","6"
"255","267","76"
"256","267","6"
"257","267","3"
"258","268","28"
"259","257","6"
"260","11","3"
"261","290","29"
