"88","Baku",""
"89","TibilisiTiflis","Tibilisi"
"90","Batumi",""
"91","KarateginRashtQaratiginGharm",""
"92","Sulaymaniyah",""
"93","Basra","Basra"
"94","KalatQalat",""
"95","RaygarQaratāghTursonzoda",""
"96","KhatlānQurghan-Teppa (province)","Khatlan"
"98","Ottoman Empire",""
"99","Afghanistan",""
"100","Russian Empire",""
"101","KāgānNew Bukhara",""
"102","Diwanah BaghNew Chaharjuy",""
"103","Shīr ĀbādSherabad",""
"104","Kitāb","Kitab"
"105","RāmpūrMustafabad",""
"106","Delhi","Delhi"
"107","BanārasVaranasiKashi",""
"108","Bajur",""
"109","Lucknow",""
"110","Damascus","Damascus"
"111","Yangi QurghanKani-mikhYangiqo‘rg‘on","Yangi Qurghan"
"112","SukhārDīhah-i Amīr KulālSūkhārī",""
"113","Katta QurghanKatta-Kurgan","Katta-Qurghan"
"114","Kashgar","Kashgar"
"115","Qaratappa",""
"116","Jawzjān",""
"117","ShaburghānSheberghan","Sheberghan"
"118","Sar-i Pul",""
"119","MargilanMarghilanMarginan","Margilan"
"120","Bilgram",""
"121","Awlia Ata",""
"122","Mīyānkāl",""
"123","QabādiyānКабадиан",""
"124","Iran",""
"125","KunduzQunduz","Kunduz"
"126","Āhūgīr",""
"127","Farāvīz",""
"128","Sarijūy",""
"129","DarvazDarwāz","Darwaz"
"130","Qalʿa-i Khumb",""
"131","UrmiaOroumiehRezā’īyeh",""
"132","Isfahan","Isfahan"
"133","AstarabadGurgan","Astarabad"
"134","TirmiẕTermezPatta-HisarПатта-Гиссар","Termez"
"135","TurkistanYasiShawgar","Turkistan"
"136","KhorezmKhwārazmChoresmia",""
"137","Kashmīr",""
"138","Suyūnj",""
"139","ĀkhchaĀqchah","Aqcha"
"140","Pskent",""
"141","Ak-MechetKyzylorda",""
"142","AksuAqsu",""
"143","YarkandYarkend",""
"144","Korla",""
"145","ChinaQing Empire",""
"146","Kūlāb",""
"147","Matīn",""
"148","Utrar",""
"149","ʿIshq ĀbādAshgabat","Ashgabat"
"150","Qazvīn",""
"151","Dāmān",""
"152","Shīrwān",""
"153","FarghānaFerghana Valley",""
"154","Ḥijāz",""
"155","Qarnaq",""
"156","Dahbīd",""
"157","QarnabKarnab","Qarnab"
"158","Qara Irsari",""
"159","Sughud",""
"160","MazakhinMuzakhin",""
"161","SayramIspījāb","Sayram"
"163","Chuqmaq (village)",""
"164","Shahjahanabad",""
"165","Suzaq",""
"166","Doāba",""
"167","Ajr Qara",""
"168","Talas",""
"169","Tura Qurghan",""
"170","Osh","Osh"
"171","Kāsān",""
"172","ChādakChodak","Chadak"
"173","Chūst",""
"174","Jāndār",""
"175","Bistam",""
"176","Maymana","Maymana"
"177","RāmitīnRomitan",""
"178","AndkhoyAndakhūd",""
"179","Jerusalem","Jerusalem"
"180","GhazaGaza",""
"181","PanjshanbaPanjshambe",""
"182","Gujarat",""
"184","Aurangabad",""
"185","Hyderabad","Hyderabad"
"186","Kanpur",""
"187","Khotan",""
"188","Jaunpur",""
"189","Uzjand",""
"190","Multan",""
"191","Burhanpur",""
"192","Khuldabad",""
"193","DawlatabadDaulatabadDeogiri",""
"194","Gulbarga",""
"195","BijapurVijayapur",""
"196","KshtutKishtut",""
"197","Aurangabad (Suba)",""
"198","DerbentDarbant",""
"199","Pārakent",""
"200","Zarnuj",""
"201","Odessa",""
"202","Shugnan",""
"203","KelifКелиф",""
"204","Fayzabad","Fayzabad"
"205","Panjakent",""
"206","MoscowМосква",""
"207","KandaharQandahār",""
"208","PaykentPaykandBaykent","Paykand"
"209","Samarqand (province)Samarkand",""
"210","Manghit Bukhara (polity)",""
"211","TurkestanRussian Turkestan",""
"1001","Mulla Muhammad Sharif (Sangin)Ghaziyan",""
"1003","Zargaran",""
"1009","Khwaja Ubaidallah Ahrar",""
"1011","Qazi Ghufur",""
"1014","Fawq al-Zikr",""
"1015","Kuhband",""
"1017","Ahmad Jan Pustin Duz",""
"1020","Madar-i Khan",""
"1021","Abdallah Khan",""
"1022","Mir Dustum Bey",""
"1024","Hajji Abd al-Malik",""
"1025","Chuchuk Ayyim Sangin",""
"1026","Naqib",""
"1028","Qalmaqjan Ayyim",""
"1030","Juybarchah",""
"1031","Sharafat Banu",""
"1032","Mirakan-i Kuhna",""
"1033","Miyan Ishaq",""
"1034","Mir Ibrahim",""
"1035","Qari Wiqayatallah",""
"1036","Yuldash Shahrisabzi",""
"1037","Ghaziyan-i Kalan",""
"1039","Mirza Abd al-GhafurMirza Ghafur",""
"1040","Taj al-Din",""
"1042","Bala-i Hawz",""
"1043","Nazarchah",""
"1044","Askar Bay",""
"1045","Dar al-Shifa'",""
"1046","Payanda-biy",""
"1047","Shadim Bay",""
"1048","Afghan",""
"1050","Mir Ja Na'li",""
"1051","Akhund Khawand",""
"1052","Chubin Abd al-Rahman",""
"1053","Mizrab Bek",""
"1054","Amir Alim Khan",""
"1055","Mir-i Arab",""
"1056","Naw Badal Bek",""
"1057","Muhammad Nazar Parvanchi",""
"1058","Hajji Rahmatallah",""
"1059","Rahman-quli",""
"1060","Dust Chahrah Aqasi",""
"1062","Nasrallah al-Din Bay Farshigi",""
"1063","Utkur Qushbigi",""
"1064","Hajji Zahid",""
"1065","Husayn Bay",""
"1067","Mihtar-i Qafilan",""
"1068","Chubin Kappa",""
"1069","Haji Baqa Bay",""
"1070","Awaz Bay Arab",""
"1072","Baba-i Nankash",""
"1073","Mirza Tawarrudi",""
"1074","Baqijan Qushbigi",""
"1077","Madar-i Khan-i Khurd",""
"1078","Abd al-Rashid Afghan",""
"1079","Kahband",""
"1080","Abd al-Hafiz Bay",""
"1081","Pushayman",""
"1083","Badr al-Din",""
"1084","Gawkushan Madrasa",""
"1085","Abd al-Mu'min Bay",""
"1086","Alim-jan Bay",""
"1087","Muhammad Amin KhwajaDumba Jushak",""
"1088","Chubin Mulla Muhammad Sharif",""
"1089","Muhammad Yunus Inaq Bay",""
"1090","Giriban Chak",""
"1091","Chubin Chuchuk Ayim",""
"1092","Gharbiyya",""
"1093","Chuqmaq",""
"1094","Tuz Qul Bay",""
"1095","Mirza Bek",""
"1096","Ishan Pir",""
"1097","Mirza 'Ubayd",""
"1098","Madrasa Nadir Diwanbigi",""
"1100","KukaltashQulbaba",""
"1103","Sharsharah",""
"1104","Khwaja Bulghar",""
"1105","Damulla Hasan",""
"1106","Ibrahim Akhund",""
"1107","Ja'far Khwaja Naqib",""
"1108","Abd al-Naja Bay",""
"1109","Jinnat Makan",""
"1111","Hajji Jum'ah Bay",""
"1114","Abd al-Sami' Ishan",""
"1115","Sayyid Amin Bay Khwajayn",""
"1116","Qari Sultan",""
"1117","Mulla Sayyid Khwaja",""
"1118","Fazil Ishan",""
"1119","Muhammad Amin Tupchi Bashi",""
"1120","Yash Awzaq Bik",""
"1122","Abd al-Karim Bay 'Attar",""
"1123","Mihtar 'Anbar",""
"1124","Qari Sayyid Khwaja",""
"1125","Pacha Khwaja",""
"1127","Khalifa HusaynHusayni Madrasa",""
"1128","I'badallah Khwaja",""
"1129","Haji Qurban",""
"1130","Haji Salim",""
"1132","Akhund 'Arif Khan",""
"1133","Muhsin Khwaja Awraq",""
"1135","Mulla Abd al-Khaliq",""
"1136","Hajji Qurban Khwaja",""
"1137","Mulla Yar Akhund",""
"1138","Abd al-Khalil Bay",""
"1139","Mulla Hamrah",""
"1140","Khawar Ay",""
"1141","Idris Khwaja",""
"1142","Amir Nasrallah",""
"1143","Baba-i Al",""
"1144","Mirza Burhan",""
"1145","Manghit Ayim",""
"1146","Mir Jamal Zargar",""
"1147","Jurah Bay",""
"1149","Qari Abd al-Salam",""
"1150","Fathallah Bay",""
"1151","Sadr Bay",""
"1152","Khwaja Qurban",""
"1153","Mukhtar Khwaja Aqsaqal",""
"1154","Abd al-Rahim Bay",""
"1155","'Ashur Jan",""
"1156","Khwaja Ulfat",""
"1157","Shirgaran",""
"1158","Shaykh al-Islam",""
"1159","Amin Jan",""
"1160","Hasan Bay",""
"1161","Iskandar Khan",""
"1162","Astimur",""
"1163","Mir Baqa Bay",""
"1164","Mir KamalMir Kamal-Sarraf",""
"1165","Khadir Bay",""
"1166","Mavlavi Hasan Khwajah",""
"1167","Luqman Jan",""
"1168","Abd al-Aziz Khan",""
"1171","Azizan",""
"1172","Baba Quqabah",""
"1173","Ughul Ay",""
"1174","Qasim Khwajah",""
"1175","Mawlana Sharif",""
"1176","Katta Khwajah",""
"1177","Mulla Ruzi",""
"1178","Shah Akhsi",""
"1179","Ikram Khwajah",""
"1180","Mulla Sultan",""
"1181","Ikhtiyar Khan Akhund",""
"1182","Mir Shah Khwajah",""
"1183","Usta Bahadur",""
"1184","Khanaqah 'Alim Khwjah",""
"1185","Babajan Bay",""
"1187","Mirza Fuzayl Bay",""
"1188","Qazi Hasan Khwajah",""
"1189","Katta Khwajah",""
"1190","Qazi Abu al-Hasan Khwajah",""
"1191","Saray Tasht",""
"1192","Abd al-Rahman Bay",""
"1193","Hayat Jan",""
"1194","Abdallah Katib",""
"1195","Abd al-Rahman Bik",""
"1196","Abd al-Nazar Mufti",""
"1197","Kuchak",""
"1198","Hafiz Qunghrat",""
"1199","Kuhnah Badal Bik",""
"1201","Alaqa Bandan",""
"1202","Mahdi Khwaja",""
"1203","Khalifa Khudaydad",""
"1204","Mihtar Arif",""
"1205","Salim Bik Bay Diwanbigi",""
"1206","Mirza Haydar",""
"1207","Zubayda Ayim",""
"1208","Shaykh Jalal",""
"1209","Saray Ayim",""
"1210","Mihtar Awrak",""
"1211","Yash Uzoq Bik",""
"1212","Tupchi Bashi",""
"1213","Qazi Salim",""
"1215","Ayaz Bay",""
"1216","Muhammad Ali Haji",""
"1217","Hazrat Khwajah Arif",""
"1218","Mahmudiyah",""
"1219","Muzaffari",""
"1220","Chuqūr",""
"1221","Muhammad Riza 'Ataq",""
"1222","Shir Muhammad Bay",""
"1223","Saray",""
"1224","Mir Bik(ai)",""
"1225","Abdallah Khan",""
"1226","Goli",""
"1232","Mahmud bin Qalandarjan",""
"1233","Jadd-i Majid",""
"1234","Khanum",""
"1235","Amir-i Mu'minan Ali Abi Talib",""
"1236","Khal Bey Eshik Aqasi Kenagis",""
"1237","Yunus Khan",""
"1238","Takiyya of Shah Musafir",""
"1239","Abdul Qadir Hakimuddin",""
"1240","Burhanuddin Gharib Chishti",""
"1241","Gesu DarazKwaja Bande Nawaz",""
"1246","Kitab-Khana-i Khwaja-i Parsa",""
"1247","Khwaja Muhammad Parsa",""
"1004","Ulugh Beg Madrasa",""
"1101","Diwanbigi",""
"1027","Khiyaban",""
"1126","Fathallah Qushbigi",""
"1186","Kalabad",""
"1227","Awaz Bay Arab",""
"1170","Mirza Ulugh Bik",""
"1200","Miskin",""
"1005","Qazi Saqi",""
"1007","Shir Dar",""
"1248","Shir Dar",""
"1112","Mulla Iyrnazar",""
"1008","Tilla-kari",""
"1012","Nadr Muhammad Diwanbigi / Shirdar 2",""
"1006","Sayyid Ahmad Khwaja",""
"1041","Gusfand (Madrasa-i Fathallah Guspand-Jallab)Abd al-Aziz KhanBazar-i Gusfand",""
"1075","Ataliq",""
"1029","Juybar-i Kalan",""
"1018","Asiri",""
"1131","Bibi Khalifa",""
"1214","Khwajah Dawlat",""
"1019","Muhammad Ali Haji",""
"1242","Sayyid Karim Muhammad",""
"1243","Sayyid Abd al-Rahim",""
"1229","Nazarak",""
"1099","Tursunjan",""
"1134","Khalifa NiazqulChahar Minar",""
"1082","A'lamAbd al-Rahman A'lam",""
"1010","ʿĀlī",""
"1228","Shamsiyah Banu",""
"1230","Taj al-Shari'a",""
"1113","Damulla Shir",""
"1076","Isma'il Khwaja",""
"1023","Ja'far Khwaja",""
"1061","Khwaja Nihal",""
"1038","Ali Chubin",""
"1071","Haji Qasim",""
"1121","Sayyid Kamal",""
"1102","Qazi Latif",""
"1244","Ribat Muhammad Dhakir al-Bukhari",""
"1169","Abd al-Shukur Bay (in guzar-i Azizan)",""
"1245","Ribat Muhammad Abd al-Shukur Bukhari",""
"1066","Mirza Hamdam",""
"1148","Abd al-Shukur Bay (in Guzar-i Muhammad Ali Hajji)",""
"1049","Hajji Bahadur",""
"1110","Rahmatallah TuqsabahTurkman",""
"5000","",""
"5002","",""
"5003","",""
"5007","",""
"5008","",""
"5009","Mawlana Asiri (Guzar)",""
"5013","Amiri (Guzar)",""
"5014","Awliyayi Gharib (Guzar)",""
"5015","",""
"5016","Eshan Pir (Guzar)",""
"5017","",""
"5018","Baba-yi Nankash (Guzar)",""
"5019","",""
"5021","",""
"5022","",""
"5023","Bazar-i Gul (Guzar)",""
"5024","",""
"5025","",""
"5026","",""
"5027","Pachchah Qul-Hajji (Guzar)",""
"5029","Payi Astana (Guzar)",""
"5031","",""
"5034","",""
"5035","",""
"5036","",""
"5038","Ja'far Khwaja (Guzar)",""
"5043","",""
"5044","Neighborhood of Job's Tomb",""
"5046","Char-baqqali Darwaza-i Samarqand (Guzar)",""
"5051","Chahar Kharas (Guzar)",""
"5052","Khanaqah-i Chuqmaqi (Guzar)",""
"5053","Aman-bay (Guzar)",""
"5055","Hajji Habiballah (Guzar)",""
"5057","",""
"5059","",""
"5060","Hafiz Qunghrat (Guzar)",""
"5062","",""
"5063","Hawz-i Naw (Guzar)",""
"5064","",""
"5065","Diwanbegi Khanaqah (neighborhood)",""
"5066","Khalifa Husayn (Guzar)",""
"5067","Khalifa Khudaydad (Guzar)",""
"5068","Khwaja Bulghar (guzar)",""
"5069","Khwaja Parsa (Guzar)",""
"5072","Tabband (Guzar)",""
"5074","Khwaja Tuyghun (Guzar)",""
"5075","Zamucha (Guzar)",""
"5078","Khwaja Zayn al-Din (Guzar)",""
"5080","Khwaja Qurban (Guzar)",""
"5081","Khwaja Kalan (Guzar)",""
"5084","Khiyaban (Microregion)",""
"5085","Dil-kusha-yi Darun (Guzar)",""
"5087","",""
"5088","Dust-chura-aghasi (Guzar)",""
"5091","",""
"5095","",""
"5097","Sarrajan (Guzar)",""
"5098","Rawghangaran (Guzar)",""
"5100","",""
"5101","Sih Su (Guzar)Sih Suq Tarrahi",""
"5102","Suzangaran (Guzar)",""
"5103","Siyah-karan (Guzar)",""
"5109","Sharif-jan (Guzar)Angishtiha",""
"5110","Qazi-urda (Guzar)Akhund Mulla Usman",""
"5112","Mulla Shamsi Muhammad (Guzar)SharsharaBazar-i Alaf",""
"5113","Jan-Qubad-i Khurd (Guzar)Shur-kul",""
"5114","Shaykh Jalal (Guzar)",""
"5116","Shaykh Rangrez (Guzar)Darwaza-i Qawala",""
"5117","Sher Muhammad Juwazkan (Guzar)",""
"5118","Sufiyan (Guzar)",""
"5119","Alim Khwaja (Guzar)",""
"5120","Azizan (Guzar)",""
"5125","Askar-biy (Guzar)",""
"5126","Alaqa-bandan (Guzar)",""
"5127","Ghaziyan (Guzar)",""
"5131","Fathallah Qushbegi (Guzar)Hajji Hasan (Guzar)",""
"5132","",""
"5133","Qasim Shaykh (Guzar)",""
"5134","Qafilan (Guzar)",""
"5135","Qara Kamal (Guzar)",""
"5138","Qaltagiyan (Guzar)",""
"5139","",""
"5142","Abdallah Quchqar (Guzar)",""
"5143","Qush Madrasa (Guzar)",""
"5146","Kasa-garan (Guzar)",""
"5149","Kakla Khurd (Guzar)",""
"5152","Kakila Kalan (Guzar)",""
"5153","Gawkashan (Guzar)",""
"5155","",""
"5156","Kukaltash (Guzar)",""
"5159","Kemukhtgaran (Guzar)",""
"5162","Madar-i Khan (Guzar)",""
"5163","Muhammad Ali Hajji (Guzar)",""
"5165","Makhdum A'zam (Guzar)",""
"5166","Masjid-i Baland (Guzar)",""
"5167","Mulla Payrawi (Guzar)",""
"5168","Mulla Shah (Guzar)",""
"5169","",""
"5170","",""
"5171","Mehtar Shafi (Guzar)Hawz-i Rashid",""
"5172","Mihtar Arif (Guzar)",""
"5173","Mihtar Anbar (Guzar)",""
"5176","Mawlana Sharif (Guzar)Alam na-rasan (Guzar)",""
"5183","Mir Dustum (Guzar)",""
"5184","Mir Tahur-i Dewan (Guzar)",""
"5187","Mir Mas'ud (Guzar)",""
"5188","Mir-jan Keldi (Guzar)Hamam Kappa",""
"5191","Mirza Ubayd (Guzar)Char Karvansaray",""
"5192","",""
"5193","",""
"5194","Mirakan (Guzar)",""
"5197","Nadir-ways (Guzar)Quyov-khwaja (Guzar)",""
"5198","Naqib (Guzar)",""
"5200","",""
"5201","",""
"5202","Yalangi Boqi-jan Qushbegi (Guzar)",""
"212","Qarshi (polity)",""
"213","Chahar Wilayat",""
"214","KhurasanKhorasan",""
"215","Abiward",""
"216","Qushbegi Chancery",""
"217","Tuqsaba-Khana",""
"218","Elchi-Khana (Bukhara)",""
"219","Qurghan-TeppaQurghonteppaKurganteppa",""
"220","Bukhara (Province)",""
"221","AltishahrYattishahrTarim BasinKashgaria",""
"222","Xinjiang",""
"223","JunghariaDzungaria",""
"224","TumshuqTumxuk",""
"225","Aq SarayAk-Saray",""
"226","Keneges Shahrisabz",""
"227","Qush-Bashi",""
"228","Daniyar-ShaykhДаниар-Шейх",""
"229","Ak-Bay",""
"230","DuabaДуаба",""
"231","O'rta QurghanУрта-курган",""
"232","ShamatanШаматан",""
"233","Dah-YekДах-ек",""
"234","ShanbaШамбэ",""
"235","Qungrat Khiva (polity)",""
"236","QumulKumulHami",""
"237","Qumul Wang Dynasty Tomb Complex",""
"238","TurfanTurpan",""
"239","Emin Minaret and Mosque",""
"240","Mawlana Arsh al-Din MazarAshiddin Mazar",""
"241","KuchaKuqa",""
"242","Sajiye Madrasa",""
"243","Khanliq Madrasa",""
"244","Id Kah MosqueEidgah Masjid",""
"245","Afaq (Apaq) Khwaja MausoleumAbakh Khwaja Mazar",""
"246","Altun MosqueAltyn MasjidAltunluq",""
"247","Amanishahan Maosoleum",""
"248","Tombs of the Yarkand Khans",""
"249","Yarkand Tomb of Qing Governor",""
"250","Seven MuhammadsChiltanHaft Muhammadan",""
"251","Hazrat PirAstipir",""
"252","Qutlugh Murad InaqQutlūgh Murād Ïnāq Madrasa",""
"253","Yangi Ribat",""
"254","Mazār-i Quṭb-i al-ʿĀrifayn",""
"255","Hasan Murad Qushbegi Mosque",""
"256","Musa Tura Madrassa",""
"257","Muhammad Rahim Khan Madrasa",""
"258","Muhammad Amin Inaq Madrasa",""
"259","Matpana Baya Madrasa",""
"260","Shaykh Kalandar Bobo Madrasa",""
"261","Bikajon Bika Mosque",""
"262","Pahlavan Mahmud Mausoleum",""
"263","Kohna Ark",""
"264","Ak Sheikh Bobo Mosque",""
"265","Matrasul Mirzaboshi Madrasa",""
"266","Sher Ghazi-khan Madrasa",""
"267","Mozori Sharif",""
"268","Otojon Boy Madrasa",""
"269","Islam Khwaja Madrasa",""
"270","Juma Masjid",""
"271","Uch Avlio Maqbarasi",""
"272","Khwarazmshah Madrasa",""
"273","Job's TombChashma-i Ayyub",""
"274","Khwaja Zayn al-DinKhwajai Turk",""
"275","Maddahan (Guzar)",""
"276","Kunatir",""
"277","TransoxaniaMawaraalnahr",""
"278","Aq Bulaq",""
"279","Madjid-i Qasim Khwaja",""
"280","Qataghan Dynasty of Qunduz",""
"281","Qipchaq Tribal Confederation",""
"282","Ming Dynasty of Khoqand",""
"283","Ura Tepa Dynasty",""
"284","Yarid Dynasty of Badakhshan",""
"285","Mughal Dynasty of India",""
"286","Durrani Empire",""
"287","Ya'qub Beg's Khanate",""
"289","Chahar Bakr","Chahar Bakr Shrine Complex"
"290","Abdullo Qo'chqor Masjidi",""
"291","Dahma Beheshtiyan",""
"292","Old Bukhara Train Station",""
"293","Jewish Cemetery",""
"294","Abd al-Ahad Train Station PalaceДворец Амира",""
"295","Russian Political Agency in BukharaResidency of the Russian Political Agent",""
"296","Masjid-i Kalan",""
"297","Olloquli Khan Madrasa",""
"298","Abdullah Khan Madrasa",""
"299","Yoqub Boy Khwaja",""
"300","Ziyaratgah Tahir Ishan",""
"301","Awliya Hazrat-i Khwaja Rushnayi",""
"302","Khwaja Kalan Masjid",""
"303","Pachcha-Qul Masjid",""
"304","Imam Ghazali Wali Masjid",""
"305","Zabiyan-Dabiyan Masjid",""
"306","Turk-i Jandi Mausoleum",""
"307","Mazar-i Taj al-Din",""
"308","Qurghan-i Ghijduvan",""
"309","Ghijduwan (city)","Ghijduwan"
"310","Shaykh Abd al-Khaliq Ghijduwani","Abd al-Khaliq Ghijduwani Shrine"
"311","Ulugh Beg Madrasa",""
"312","Jewish Synagogue",""
"313","Awliya Khwaja Parsa",""
"314","Isteza Madrasa",""
"315","Khwaja Parsa Masjid",""
"316","Zindan",""
"317","Tagbandbafan Masjid",""
"318","Oy Binok Mosque",""
"319","Khwaja Arif Mahitaban al-Rewgari","Arif Mahitaban Shrine"
"320","Khwaja Mahmud Injir Faghnawi","Mahmud Injir Faghnawi Shrine"
"321","Khwaja Ali Ramitani","Ali Ramitani Shrine"
"322","Khwaja Baba Muhammad Samasi","Baba Samasi Shrine"
"323","Varakhsha",""
"324","Qiz-Bibi",""
"325","Khanaqah Nadir Divan Begi",""
"326","PunjabPanjab",""
"327","Sindh",""
"328","BaluchistanKuj",""
"329","",""
"330","",""
"331","",""
"332","Ghazni",""
"333","Mazandaran",""
"334","Kuknarkhana-i Kimukhtgaran",""
"335","Kuknarkhana in Mir Dustum",""
"341","Sirhind",""
"342","Khānaqāh-i Sahibzada",""
"343","Kalabad (Guzar)",""
"344","Kalabad Madrasa",""
"345","ShirwanShirvan",""
"346","Caucasus",""
"347","Masjid-i Uzbekan",""
"348","Mirakan Mosque",""
"349","",""
"351","Hisar Province",""
"352","Obe",""
"353","Herat Province",""
"354","Shaykh Jalal al-Din Cemetery",""
"355","Shahrisabz Basin / Province",""
"356","Qazancha",""
"357","BenaresVaranasiKashi",""
"358","Sitara-i Mah-i KhassaSummer Palace (Manghit)",""
"359","Sayyid Amir-i Kulal","Amir Kulal Shrine"
"360","Akhbar Khwaja (giant tomb)",""
"361","Bala-yi Hawz Jami Masjid",""
"362","Payi Astana Masjid",""
"363","Ark / Arg of Bukhara",""
"364","Mir Ibrahim Masjid",""
"365","Degrezi Masjidi",""
"366","Walida-i Abd al-Aziz Khan Masjid",""
"367","Qaraqol Gate",""
"368","Tabband Mosque",""
"369","Baha al-Din Naqshband","Baha al-Din Naqshband Shrine"
"370","TatarstanVolga-Urals",""
"371","Sana'a","Sana'a"
"372","Cairo","Cairo"
"373","Aq-MasjidPerovskKyzylordaAk-Mechet","Aq-Masjid"
"374","Makran",""
"375","Madrasa-i Aliyya",""
"376","MangyshlakManqishlaq",""
"377","Safavid Empire",""
"378","AlmatyAlma-AtaVernyi","Vernyi (Almaty)"
"379","SemirechyeYeti-su",""
"380","Ferghana Oblast",""
"381","Syr-Darya Oblast",""
"382","Southern TurkestanNorthern AfghanistanGreater Balkh",""
"383","Baljuwan (village)Baljuvan (village)","Baljuwan"
"384","Kukeldash",""
"385","Calcutta","Calcutta"
"386","Mazār-i Sharīf","Mazar-i Sharif"
"387","Balkh (city)","Balkh"
"389","Faryab",""
"390","Dushanbe",""
"391","PatnaAzimabad",""
"392","Shiraz","Shiraz"
"393","Mir Madrasa",""
"394","Dih-nawDenavChaghāniyān","Denaw"
"395","Barakzai Afghanistan",""
"396","Ming Maymana Dynasty",""
"397","KhorogKhorugh","Khorog"
"398","Taj Hakim Bek",""
"399","Khalifa Umar bin Abd al-Aziz Madrasa",""
"400","Tara",""
"401","Omsk Okrug",""
"402","Tokyo",""
"403","Khanabad",""
"404","Akyap",""
"405","Asaf Jah Dynasty of Hyderabad",""
"406","Hyderabad Province",""
"407","BahauddinBaha al-Din",""
"408","DzhushДжюш",""
"409","Karmina (Province)","Karmina"
"411","New Charjuy provinceНовочарджуйский вилайет",""
"412","SayatСаят",""
"413","Hazarasp","Hazarasp"
"500","ToshebazTort Shahbaz",""
"501","Godje",""
"502","Godje kalenterkhane",""
"503","Khanka",""
"504","Khanka kalenterkhane",""
"505","Yapkenary",""
"506","Akkamish",""
"507","ShurakhanSho‘raxon",""
"508","Shurakhan khalenterkhane",""
"509","Toyeboyum",""
"510","Tunuklu",""
"511","Khakemir",""
"512","Baveddin",""
"427","Bek-budin",""
"428","Beshkent",""
"429","Kasan",""
"430","Chim",""
"431","Guzar",""
"432","Tangi-kharamТанги-харам",""
"433","Yangi",""
"434","Sherabad Province",""
"435","Kum-kurganQum-qurghan",""
"436","Baysun Province",""
"437","Sary-asias ProvinceСары-асияский виайет ",""
"438","Sary-asiya",""
"439","Yurchi",""
"440","Karatag",""
"442","Qurghan Tepa Province",""
"443","Saray",""
"444","Dushanbe Province",""
"445","Fayzabad (near Dushanbe)","Fayzabad"
"446","Yangi Bazaar",""
"447","Yavon","Yawan"
"448","Kulab Province",""
"449","Muminabad","Muminabad"
"450","KhawalingХовалинг","Khawaling"
"451","Garm ProvinceGharm Province",""
"452","GarmGharm","Gharm"
"453","JirgitalДжиргитал","Jirgital"
"454","Qal'a-i Lab-i AbКал'а-йи-ляби-об",""
